report_date,category,revenue
30/06/2022,Set,512422.00
30/06/2022,Top,75343.00
30/06/2022,Western Dress,208060.00
30/06/2022,kurta,303949.00
01/07/2022,Blouse,1551.00
01/07/2022,Bottom,0.00
01/07/2022,Dupatta,0.00
01/07/2022,Ethnic Dress,3541.00
01/07/2022,Saree,0.00
01/07/2022,Set,181093.00
01/07/2022,Top,28039.00
01/07/2022,Western Dress,79458.00
01/07/2022,kurta,116744.00
