report_date,category,revenue
18/04/2022,Ethnic Dress,13900.00
18/04/2022,Saree,10687.00
18/04/2022,Set,1288394.00
18/04/2022,Top,160942.00
18/04/2022,Western Dress,247828.00
18/04/2022,kurta,739249.00
19/04/2022,Blouse,26139.00
19/04/2022,Bottom,8194.00
19/04/2022,Dupatta,0.00
19/04/2022,Ethnic Dress,15303.00
19/04/2022,Saree,819.00
19/04/2022,Set,1306188.00
19/04/2022,Top,161182.00
19/04/2022,Western Dress,231833.00
19/04/2022,kurta,725928.00
20/04/2022,Blouse,25452.00
20/04/2022,Bottom,8984.00
20/04/2022,Dupatta,0.00
20/04/2022,Ethnic Dress,21549.00
20/04/2022,Saree,4261.00
20/04/2022,Set,1371713.00
20/04/2022,Top,170852.00
20/04/2022,Western Dress,281193.00
20/04/2022,kurta,758017.00
21/04/2022,Blouse,18407.00
21/04/2022,Bottom,9040.00
21/04/2022,Dupatta,0.00
21/04/2022,Ethnic Dress,31984.00
21/04/2022,Saree,6069.00
21/04/2022,Set,1421662.00
21/04/2022,Top,159891.00
21/04/2022,Western Dress,262084.00
21/04/2022,kurta,814697.00
22/04/2022,Blouse,15843.00
22/04/2022,Bottom,9602.00
22/04/2022,Dupatta,0.00
22/04/2022,Ethnic Dress,28901.00
22/04/2022,Saree,6898.00
22/04/2022,Set,1447877.00
22/04/2022,Top,151926.00
22/04/2022,Western Dress,257713.00
22/04/2022,kurta,808655.00
23/04/2022,Blouse,16631.00
23/04/2022,Bottom,10522.00
23/04/2022,Dupatta,0.00
23/04/2022,Ethnic Dress,25099.00
23/04/2022,Saree,4928.00
23/04/2022,Set,1453095.00
23/04/2022,Top,157627.00
23/04/2022,Western Dress,247829.00
23/04/2022,kurta,780765.00
24/04/2022,Blouse,21082.00
24/04/2022,Bottom,10338.00
24/04/2022,Dupatta,0.00
24/04/2022,Ethnic Dress,22434.00
24/04/2022,Saree,8178.00
24/04/2022,Set,1544342.00
24/04/2022,Top,168171.00
24/04/2022,Western Dress,276063.00
24/04/2022,kurta,748072.00
25/04/2022,Blouse,18527.00
25/04/2022,Bottom,8872.00
25/04/2022,Dupatta,0.00
25/04/2022,Ethnic Dress,23603.00
25/04/2022,Saree,7279.00
25/04/2022,Set,1499778.00
25/04/2022,Top,182813.00
25/04/2022,Western Dress,302939.00
25/04/2022,kurta,731440.00
26/04/2022,Blouse,16293.00
26/04/2022,Bottom,8159.00
26/04/2022,Dupatta,0.00
26/04/2022,Ethnic Dress,20083.00
26/04/2022,Saree,5807.00
26/04/2022,Set,1419864.00
26/04/2022,Top,174839.00
26/04/2022,Western Dress,278045.00
26/04/2022,kurta,705211.00
27/04/2022,Blouse,17175.00
27/04/2022,Bottom,9874.00
27/04/2022,Dupatta,0.00
27/04/2022,Ethnic Dress,11533.00
27/04/2022,Saree,1648.00
27/04/2022,Set,1264745.00
27/04/2022,Top,169043.00
27/04/2022,Western Dress,259982.00
27/04/2022,kurta,656751.00
28/04/2022,Blouse,18009.00
28/04/2022,Bottom,9191.00
28/04/2022,Dupatta,0.00
28/04/2022,Ethnic Dress,12751.00
28/04/2022,Saree,7029.00
28/04/2022,Set,1224041.00
28/04/2022,Top,168425.00
28/04/2022,Western Dress,223134.00
28/04/2022,kurta,636312.00
29/04/2022,Blouse,15348.00
29/04/2022,Bottom,7576.00
29/04/2022,Dupatta,0.00
29/04/2022,Ethnic Dress,16969.00
29/04/2022,Saree,8667.00
29/04/2022,Set,1187559.00
29/04/2022,Top,168781.00
29/04/2022,Western Dress,226905.00
29/04/2022,kurta,608178.00
30/04/2022,Blouse,11444.00
30/04/2022,Bottom,3765.00
30/04/2022,Dupatta,0.00
30/04/2022,Ethnic Dress,21548.00
30/04/2022,Saree,9377.00
30/04/2022,Set,1275725.00
30/04/2022,Top,168247.00
30/04/2022,Western Dress,238614.00
30/04/2022,kurta,661705.00
01/05/2022,Blouse,13093.00
01/05/2022,Bottom,3366.00
01/05/2022,Dupatta,0.00
01/05/2022,Ethnic Dress,18423.00
01/05/2022,Saree,3810.00
01/05/2022,Set,1402983.00
01/05/2022,Top,169535.00
01/05/2022,Western Dress,282384.00
01/05/2022,kurta,738112.00
02/05/2022,Blouse,15970.00
02/05/2022,Bottom,5022.00
02/05/2022,Dupatta,0.00
02/05/2022,Ethnic Dress,18306.00
02/05/2022,Saree,2172.00
02/05/2022,Set,1551819.00
02/05/2022,Top,174055.00
02/05/2022,Western Dress,311257.00
02/05/2022,kurta,867228.00
03/05/2022,Blouse,17730.00
03/05/2022,Bottom,5184.00
03/05/2022,Dupatta,0.00
03/05/2022,Ethnic Dress,22703.00
03/05/2022,Saree,2593.00
03/05/2022,Set,1631406.00
03/05/2022,Top,179237.00
03/05/2022,Western Dress,340281.00
03/05/2022,kurta,936529.00
04/05/2022,Blouse,13450.00
04/05/2022,Bottom,5234.00
04/05/2022,Dupatta,0.00
04/05/2022,Ethnic Dress,27602.00
04/05/2022,Saree,6336.00
04/05/2022,Set,1700943.00
04/05/2022,Top,189238.00
04/05/2022,Western Dress,351476.00
04/05/2022,kurta,943215.00
05/05/2022,Blouse,10855.00
05/05/2022,Bottom,1855.00
05/05/2022,Dupatta,0.00
05/05/2022,Ethnic Dress,27048.00
05/05/2022,Saree,10067.00
05/05/2022,Set,1568664.00
05/05/2022,Top,180397.00
05/05/2022,Western Dress,339039.00
05/05/2022,kurta,839606.00
06/05/2022,Blouse,12033.00
06/05/2022,Bottom,1316.00
06/05/2022,Dupatta,0.00
06/05/2022,Ethnic Dress,24680.00
06/05/2022,Saree,8793.00
06/05/2022,Set,1516679.00
06/05/2022,Top,175959.00
06/05/2022,Western Dress,301176.00
06/05/2022,kurta,693316.00
07/05/2022,Blouse,15143.00
07/05/2022,Bottom,317.00
07/05/2022,Dupatta,0.00
07/05/2022,Ethnic Dress,27744.00
07/05/2022,Saree,6151.00
07/05/2022,Set,1342853.00
07/05/2022,Top,160664.00
07/05/2022,Western Dress,297027.00
07/05/2022,kurta,609025.00
08/05/2022,Blouse,14395.00
08/05/2022,Bottom,1728.00
08/05/2022,Dupatta,0.00
08/05/2022,Ethnic Dress,27305.00
08/05/2022,Saree,2974.00
08/05/2022,Set,1334878.00
08/05/2022,Top,167378.00
08/05/2022,Western Dress,300411.00
08/05/2022,kurta,593967.00
09/05/2022,Blouse,11507.00
09/05/2022,Bottom,2390.00
09/05/2022,Dupatta,0.00
09/05/2022,Ethnic Dress,25168.00
09/05/2022,Saree,3191.00
09/05/2022,Set,1193594.00
09/05/2022,Top,161708.00
09/05/2022,Western Dress,285497.00
09/05/2022,kurta,639937.00
10/05/2022,Blouse,12603.00
10/05/2022,Bottom,3743.00
10/05/2022,Dupatta,0.00
10/05/2022,Ethnic Dress,23576.00
10/05/2022,Saree,4957.00
10/05/2022,Set,1060570.00
10/05/2022,Top,157363.00
10/05/2022,Western Dress,262744.00
10/05/2022,kurta,606400.00
11/05/2022,Blouse,17114.00
11/05/2022,Bottom,2316.00
11/05/2022,Dupatta,0.00
11/05/2022,Ethnic Dress,23636.00
11/05/2022,Saree,5974.00
11/05/2022,Set,968352.00
11/05/2022,Top,145721.00
11/05/2022,Western Dress,267173.00
11/05/2022,kurta,562931.00
12/05/2022,Blouse,18821.00
12/05/2022,Bottom,2014.00
12/05/2022,Dupatta,0.00
12/05/2022,Ethnic Dress,22727.00
12/05/2022,Saree,7253.00
12/05/2022,Set,915251.00
12/05/2022,Top,144707.00
12/05/2022,Western Dress,303023.00
12/05/2022,kurta,486471.00
13/05/2022,Blouse,16791.00
13/05/2022,Bottom,2817.00
13/05/2022,Dupatta,0.00
13/05/2022,Ethnic Dress,24551.00
13/05/2022,Saree,4595.00
13/05/2022,Set,921390.00
13/05/2022,Top,129510.00
13/05/2022,Western Dress,340083.00
13/05/2022,kurta,459430.00
14/05/2022,Blouse,17085.00
14/05/2022,Bottom,5007.00
14/05/2022,Dupatta,0.00
14/05/2022,Ethnic Dress,27012.00
14/05/2022,Saree,4794.00
14/05/2022,Set,930819.00
14/05/2022,Top,139151.00
14/05/2022,Western Dress,345142.00
14/05/2022,kurta,449169.00
15/05/2022,Blouse,14461.00
15/05/2022,Bottom,7133.00
15/05/2022,Dupatta,0.00
15/05/2022,Ethnic Dress,29286.00
15/05/2022,Saree,2542.00
15/05/2022,Set,997129.00
15/05/2022,Top,163763.00
15/05/2022,Western Dress,377835.00
15/05/2022,kurta,477351.00
16/05/2022,Blouse,13009.00
16/05/2022,Bottom,6986.00
16/05/2022,Dupatta,0.00
16/05/2022,Ethnic Dress,30973.00
16/05/2022,Saree,2655.00
16/05/2022,Set,992823.00
16/05/2022,Top,179425.00
16/05/2022,Western Dress,368241.00
16/05/2022,kurta,508486.00
17/05/2022,Blouse,7081.00
17/05/2022,Bottom,5414.00
17/05/2022,Dupatta,0.00
17/05/2022,Ethnic Dress,29907.00
17/05/2022,Saree,885.00
17/05/2022,Set,996944.00
17/05/2022,Top,183881.00
17/05/2022,Western Dress,366826.00
17/05/2022,kurta,497621.00
18/05/2022,Blouse,8048.00
18/05/2022,Bottom,2928.00
18/05/2022,Dupatta,0.00
18/05/2022,Ethnic Dress,27662.00
18/05/2022,Saree,1805.00
18/05/2022,Set,963725.00
18/05/2022,Top,167006.00
18/05/2022,Western Dress,373853.00
18/05/2022,kurta,474684.00
19/05/2022,Blouse,12652.00
19/05/2022,Bottom,2690.00
19/05/2022,Dupatta,0.00
19/05/2022,Ethnic Dress,21100.00
19/05/2022,Saree,2486.00
19/05/2022,Set,971291.00
19/05/2022,Top,174497.00
19/05/2022,Western Dress,413858.00
19/05/2022,kurta,456857.00
20/05/2022,Blouse,16568.00
20/05/2022,Bottom,5175.00
20/05/2022,Dupatta,0.00
20/05/2022,Ethnic Dress,15477.00
20/05/2022,Saree,4053.00
20/05/2022,Set,903508.00
20/05/2022,Top,159644.00
20/05/2022,Western Dress,459060.00
20/05/2022,kurta,462829.00
21/05/2022,Blouse,17216.00
21/05/2022,Bottom,7030.00
21/05/2022,Dupatta,0.00
21/05/2022,Ethnic Dress,17214.00
21/05/2022,Saree,4018.00
21/05/2022,Set,829042.00
21/05/2022,Top,159744.00
21/05/2022,Western Dress,452252.00
21/05/2022,kurta,451314.00
22/05/2022,Blouse,12116.00
22/05/2022,Bottom,5939.00
22/05/2022,Dupatta,0.00
22/05/2022,Ethnic Dress,19094.00
22/05/2022,Saree,2452.00
22/05/2022,Set,849943.00
22/05/2022,Top,168608.00
22/05/2022,Western Dress,414774.00
22/05/2022,kurta,467809.00
23/05/2022,Blouse,11048.00
23/05/2022,Bottom,5314.00
23/05/2022,Dupatta,0.00
23/05/2022,Ethnic Dress,23768.00
23/05/2022,Saree,1770.00
23/05/2022,Set,898792.00
23/05/2022,Top,185544.00
23/05/2022,Western Dress,386782.00
23/05/2022,kurta,481603.00
24/05/2022,Blouse,11216.00
24/05/2022,Bottom,5708.00
24/05/2022,Dupatta,0.00
24/05/2022,Ethnic Dress,25614.00
24/05/2022,Saree,1770.00
24/05/2022,Set,964276.00
24/05/2022,Top,193671.00
24/05/2022,Western Dress,372551.00
24/05/2022,kurta,501486.00
25/05/2022,Blouse,15704.00
25/05/2022,Bottom,7268.00
25/05/2022,Dupatta,0.00
25/05/2022,Ethnic Dress,26389.00
25/05/2022,Saree,3337.00
25/05/2022,Set,965260.00
25/05/2022,Top,200243.00
25/05/2022,Western Dress,361838.00
25/05/2022,kurta,537239.00
26/05/2022,Blouse,14981.00
26/05/2022,Bottom,5782.00
26/05/2022,Dupatta,0.00
26/05/2022,Ethnic Dress,30025.00
26/05/2022,Saree,3208.00
26/05/2022,Set,956463.00
26/05/2022,Top,188474.00
26/05/2022,Western Dress,374416.00
26/05/2022,kurta,562472.00
27/05/2022,Blouse,14930.00
27/05/2022,Bottom,4430.00
27/05/2022,Dupatta,0.00
27/05/2022,Ethnic Dress,28504.00
27/05/2022,Saree,3114.00
27/05/2022,Set,937645.00
27/05/2022,Top,182780.00
27/05/2022,Western Dress,424980.00
27/05/2022,kurta,590658.00
28/05/2022,Blouse,11548.00
28/05/2022,Bottom,3369.00
28/05/2022,Dupatta,0.00
28/05/2022,Ethnic Dress,30948.00
28/05/2022,Saree,4202.00
28/05/2022,Set,930823.00
28/05/2022,Top,181404.00
28/05/2022,Western Dress,477011.00
28/05/2022,kurta,591305.00
29/05/2022,Blouse,11652.00
29/05/2022,Bottom,2432.00
29/05/2022,Dupatta,0.00
29/05/2022,Ethnic Dress,26444.00
29/05/2022,Saree,5017.00
29/05/2022,Set,942663.00
29/05/2022,Top,204164.00
29/05/2022,Western Dress,487056.00
29/05/2022,kurta,599818.00
30/05/2022,Blouse,11808.00
30/05/2022,Bottom,2655.00
30/05/2022,Dupatta,0.00
30/05/2022,Ethnic Dress,23785.00
30/05/2022,Saree,4226.00
30/05/2022,Set,993964.00
30/05/2022,Top,205462.00
30/05/2022,Western Dress,466644.00
30/05/2022,kurta,567139.00
31/05/2022,Blouse,13383.00
31/05/2022,Bottom,1777.00
31/05/2022,Dupatta,0.00
31/05/2022,Ethnic Dress,30383.00
31/05/2022,Saree,2456.00
31/05/2022,Set,1030391.00
31/05/2022,Top,200324.00
31/05/2022,Western Dress,470633.00
31/05/2022,kurta,556483.00
01/06/2022,Blouse,12608.00
01/06/2022,Bottom,2316.00
01/06/2022,Dupatta,0.00
01/06/2022,Ethnic Dress,42505.00
01/06/2022,Saree,2359.00
01/06/2022,Set,1072186.00
01/06/2022,Top,197266.00
01/06/2022,Western Dress,492524.00
01/06/2022,kurta,572725.00
02/06/2022,Blouse,12485.00
02/06/2022,Bottom,2232.00
02/06/2022,Dupatta,0.00
02/06/2022,Ethnic Dress,47537.00
02/06/2022,Saree,3944.00
02/06/2022,Set,1078730.00
02/06/2022,Top,197058.00
02/06/2022,Western Dress,511408.00
02/06/2022,kurta,598047.00
03/06/2022,Blouse,10461.00
03/06/2022,Bottom,2335.00
03/06/2022,Dupatta,0.00
03/06/2022,Ethnic Dress,34232.00
03/06/2022,Saree,3059.00
03/06/2022,Set,1010707.00
03/06/2022,Top,163992.00
03/06/2022,Western Dress,453157.00
03/06/2022,kurta,621087.00
04/06/2022,Blouse,10421.00
04/06/2022,Bottom,1791.00
04/06/2022,Dupatta,0.00
04/06/2022,Ethnic Dress,22627.00
04/06/2022,Saree,4031.00
04/06/2022,Set,1036005.00
04/06/2022,Top,129836.00
04/06/2022,Western Dress,394649.00
04/06/2022,kurta,672161.00
05/06/2022,Blouse,8114.00
05/06/2022,Bottom,1484.00
05/06/2022,Dupatta,0.00
05/06/2022,Ethnic Dress,27181.00
05/06/2022,Saree,6689.00
05/06/2022,Set,1078906.00
05/06/2022,Top,118707.00
05/06/2022,Western Dress,340924.00
05/06/2022,kurta,775627.00
06/06/2022,Blouse,9277.00
06/06/2022,Bottom,1080.00
06/06/2022,Dupatta,0.00
06/06/2022,Ethnic Dress,28385.00
06/06/2022,Saree,6689.00
06/06/2022,Set,1193878.00
06/06/2022,Top,129315.00
06/06/2022,Western Dress,374452.00
06/06/2022,kurta,814186.00
07/06/2022,Blouse,8736.00
07/06/2022,Bottom,1030.00
07/06/2022,Dupatta,0.00
07/06/2022,Ethnic Dress,29035.00
07/06/2022,Saree,4243.00
07/06/2022,Set,1226384.00
07/06/2022,Top,137278.00
07/06/2022,Western Dress,409748.00
07/06/2022,kurta,799456.00
08/06/2022,Blouse,13139.00
08/06/2022,Bottom,1965.00
08/06/2022,Dupatta,0.00
08/06/2022,Ethnic Dress,19514.00
08/06/2022,Saree,0.00
08/06/2022,Set,1190215.00
08/06/2022,Top,147844.00
08/06/2022,Western Dress,443786.00
08/06/2022,kurta,759872.00
09/06/2022,Blouse,12109.00
09/06/2022,Bottom,2391.00
09/06/2022,Dupatta,0.00
09/06/2022,Ethnic Dress,25098.00
09/06/2022,Saree,898.00
09/06/2022,Set,1142771.00
09/06/2022,Top,170646.00
09/06/2022,Western Dress,451079.00
09/06/2022,kurta,761706.00
10/06/2022,Blouse,11434.00
10/06/2022,Bottom,2692.00
10/06/2022,Dupatta,0.00
10/06/2022,Ethnic Dress,24121.00
10/06/2022,Saree,898.00
10/06/2022,Set,1054533.00
10/06/2022,Top,172292.00
10/06/2022,Western Dress,437798.00
10/06/2022,kurta,715226.00
11/06/2022,Blouse,10040.00
11/06/2022,Bottom,2854.00
11/06/2022,Dupatta,0.00
11/06/2022,Ethnic Dress,29874.00
11/06/2022,Saree,2539.00
11/06/2022,Set,1032559.00
11/06/2022,Top,174658.00
11/06/2022,Western Dress,413049.00
11/06/2022,kurta,681472.00
12/06/2022,Blouse,10123.00
12/06/2022,Bottom,3030.00
12/06/2022,Dupatta,0.00
12/06/2022,Ethnic Dress,27031.00
12/06/2022,Saree,3169.00
12/06/2022,Set,1059228.00
12/06/2022,Top,197188.00
12/06/2022,Western Dress,404673.00
12/06/2022,kurta,662065.00
13/06/2022,Blouse,13236.00
13/06/2022,Bottom,3268.00
13/06/2022,Dupatta,0.00
13/06/2022,Ethnic Dress,29823.00
13/06/2022,Saree,4713.00
13/06/2022,Set,1085551.00
13/06/2022,Top,217815.00
13/06/2022,Western Dress,392761.00
13/06/2022,kurta,674309.00
14/06/2022,Blouse,13564.00
14/06/2022,Bottom,2104.00
14/06/2022,Dupatta,0.00
14/06/2022,Ethnic Dress,31302.00
14/06/2022,Saree,3809.00
14/06/2022,Set,1111294.00
14/06/2022,Top,220073.00
14/06/2022,Western Dress,394915.00
14/06/2022,kurta,675109.00
15/06/2022,kurta,610293.00
15/06/2022,Blouse,15969.00
15/06/2022,Bottom,2365.00
15/06/2022,Dupatta,0.00
15/06/2022,Ethnic Dress,29547.00
15/06/2022,Saree,3696.00
15/06/2022,Set,1083030.00
15/06/2022,Top,179529.00
15/06/2022,Western Dress,360210.00
16/06/2022,Blouse,15150.00
16/06/2022,Bottom,2853.00
16/06/2022,Dupatta,0.00
16/06/2022,Ethnic Dress,25133.00
16/06/2022,Saree,2152.00
16/06/2022,Set,1096718.00
16/06/2022,Top,152271.00
16/06/2022,Western Dress,331477.00
16/06/2022,kurta,601904.00
17/06/2022,Top,131200.00
17/06/2022,Western Dress,287871.00
17/06/2022,kurta,564478.00
17/06/2022,Blouse,10445.00
17/06/2022,Bottom,3612.00
17/06/2022,Dupatta,0.00
17/06/2022,Ethnic Dress,21812.00
17/06/2022,Saree,2300.00
17/06/2022,Set,1068509.00
18/06/2022,Blouse,7235.00
18/06/2022,Bottom,4542.00
18/06/2022,Dupatta,0.00
18/06/2022,Ethnic Dress,20088.00
18/06/2022,Saree,1544.00
18/06/2022,Set,1041640.00
18/06/2022,Top,117056.00
18/06/2022,Western Dress,275144.00
18/06/2022,kurta,571042.00
19/06/2022,Blouse,7522.00
19/06/2022,Bottom,4176.00
19/06/2022,Dupatta,0.00
19/06/2022,Ethnic Dress,21025.00
19/06/2022,Saree,1544.00
19/06/2022,Set,1008441.00
19/06/2022,Top,115979.00
19/06/2022,Western Dress,261482.00
19/06/2022,kurta,532822.00
20/06/2022,Blouse,9549.00
20/06/2022,Bottom,4312.00
20/06/2022,Dupatta,0.00
20/06/2022,Ethnic Dress,22983.00
20/06/2022,Saree,659.00
20/06/2022,Set,979718.00
20/06/2022,Top,114547.00
20/06/2022,Western Dress,264032.00
20/06/2022,kurta,559396.00
21/06/2022,Blouse,11068.00
21/06/2022,Bottom,4873.00
21/06/2022,Dupatta,0.00
21/06/2022,Ethnic Dress,27117.00
21/06/2022,Saree,885.00
21/06/2022,Set,977757.00
21/06/2022,Top,119194.00
21/06/2022,Western Dress,277695.00
21/06/2022,kurta,584831.00
22/06/2022,Blouse,11184.00
22/06/2022,Bottom,5806.00
22/06/2022,Dupatta,0.00
22/06/2022,Ethnic Dress,28404.00
22/06/2022,Saree,1559.00
22/06/2022,Set,978533.00
22/06/2022,Top,122721.00
22/06/2022,Western Dress,306676.00
22/06/2022,kurta,622783.00
23/06/2022,Top,102915.00
23/06/2022,Western Dress,307124.00
23/06/2022,kurta,598389.00
23/06/2022,Blouse,10831.00
